symbol,model,stable,mse_h1,mse_h5,mse_h10,mse_avg
.AEX,HAR,True,0.2573734372473116,0.39544443982404937,0.49512879676434923,0.3826488912785701
.AEX,diag_200_p1q1,True,0.2603593216250288,0.3949654974257703,0.4948514096380948,0.3833920762296313
.AEX,multi_diag_p0_p1,True,0.2557014963059822,0.39275314594193855,0.48661555200622475,0.3783567314180485
.AEX,multi_diag_p0_p1q2,True,0.25602955106893444,0.39413619815352874,0.489734277553742,0.37996667559206837
.AEX,multi_diag_triplet,True,0.2607153867184434,0.3961727428334597,0.4910779016366571,0.3826553437295201
.AORD,HAR,True,0.395752964077545,0.48365356796037257,0.5515814094867199,0.47699598050821246
.AORD,diag_200_p1q1,True,0.3919599125133772,0.49845372217310735,0.571372329248267,0.4872619879782505
.AORD,multi_diag_p0_p1,True,0.3921900743584915,0.48386173739969107,0.5743463107324933,0.4834660408302253
.AORD,multi_diag_p0_p1q2,True,0.3903957688372088,0.48552009046422945,0.54974435122575,0.4752200701757294
.AORD,multi_diag_triplet,True,0.39149827649219054,0.4840694654590662,0.5508262977869449,0.47546467991273395
.BFX,HAR,True,0.27176221805534323,0.407678602468461,0.5046394141959775,0.39469341157326054
.BFX,diag_200_p1q1,True,0.3667069307536921,0.40730683800709744,0.501102300861062,0.4250386898739505
.BFX,multi_diag_p0_p1,True,0.2723399360133692,0.4057151515861484,0.4988244997547713,0.3922931957847629
.BFX,multi_diag_p0_p1q2,True,0.27103739656119225,0.4079458766821253,0.49961427094229605,0.3928658480618712
.BFX,multi_diag_triplet,True,0.2749806307558076,0.4045193381922142,0.5844510671089014,0.4213170120189744
.BSESN,HAR,True,0.3402769575874872,0.47392033361209335,0.5239420735932071,0.44604645493092915
.BSESN,diag_200_p1q1,True,0.3378803760544991,0.47312680348259445,0.5173130938518247,0.4427734244629728
.BSESN,multi_diag_p0_p1,True,0.3368099021258747,0.46633382635319043,0.5102971030234262,0.4378136105008304
.BSESN,multi_diag_p0_p1q2,True,0.33697751336434534,0.46756895855604563,0.5150378743133426,0.43986144874457783
.BSESN,multi_diag_triplet,True,0.3375398633201617,0.47170124814833797,0.6226050202109839,0.47728204389316115
.BVSP,HAR,True,0.39107891835525926,0.5740094586610966,0.6963746381997302,0.5538210050720287
.BVSP,diag_200_p1q1,True,0.3891688831654654,0.5625590086772295,0.6872270649089941,0.5463183189172297
