key,model,stable,mse_h1,mse_avg
.AEX_s42,Noiseless,True,0.4109273617591143,0.4109273617591143
.AEX_s42,SAS_same_fixedλ,True,0.41704878248797994,0.41704878248797994
.AEX_s42,SAS_same_cvλ,True,0.41879118317780917,0.41879118317780917
.AEX_s42,SAS_diff,True,0.4155095613429964,0.4155095613429964
.AEX_s42,SAS_q1,True,0.41945625327055647,0.41945625327055647
.AEX_s42,HAR,True,0.4211767327541706,0.4211767327541706
.AEX_s42,DLinear,True,0.42201605746376125,0.42201605746376125
.AEX_s42,GARCH,True,0.4279793327561999,0.4279793327561999
.AEX_s137,Noiseless,True,0.4071239988712006,0.4071239988712006
.AEX_s137,SAS_same_fixedλ,True,0.4080601924824934,0.4080601924824934
.AEX_s137,SAS_same_cvλ,True,0.40962673134359817,0.40962673134359817
.AEX_s137,SAS_diff,True,0.4103492991830151,0.4103492991830151
.AEX_s137,SAS_q1,True,0.42439253606302496,0.42439253606302496
.AEX_s137,HAR,True,0.41860334044837455,0.41860334044837455
.AEX_s137,DLinear,True,0.4207709510531321,0.4207709510531321
.AEX_s137,GARCH,True,0.41801369376356656,0.41801369376356656
.AEX_s256,Noiseless,True,0.3606645496217176,0.3606645496217176
.AEX_s256,SAS_same_fixedλ,True,0.3611199794591023,0.3611199794591023
.AEX_s256,SAS_same_cvλ,True,0.3612402305442147,0.3612402305442147
.AEX_s256,SAS_diff,True,0.3606215593443133,0.3606215593443133
.AEX_s256,SAS_q1,True,0.3671916347115025,0.3671916347115025
.AEX_s256,HAR,True,0.371209796746106,0.371209796746106
.AEX_s256,DLinear,True,0.3690057992362354,0.3690057992362354
.AEX_s256,GARCH,True,0.36928410154001867,0.36928410154001867
.AORD_s42,Noiseless,True,0.6976406269547168,0.6976406269547168
.AORD_s42,SAS_same_fixedλ,True,0.7040102248451543,0.7040102248451543
.AORD_s42,SAS_same_cvλ,True,0.7051829439498338,0.7051829439498338
.AORD_s42,SAS_diff,True,0.7103234869918876,0.7103234869918876
.AORD_s42,SAS_q1,True,0.7037336334024271,0.7037336334024271
.AORD_s42,HAR,True,0.7072402930170336,0.7072402930170336
.AORD_s42,DLinear,True,0.7069207791897675,0.7069207791897675
.AORD_s42,GARCH,True,0.725712584931493,0.725712584931493
.AORD_s137,Noiseless,True,0.7133191729981618,0.7133191729981618
.AORD_s137,SAS_same_fixedλ,True,0.7156895843954519,0.7156895843954519
.AORD_s137,SAS_same_cvλ,True,0.7165868495543068,0.7165868495543068
.AORD_s137,SAS_diff,True,0.7167974442220137,0.7167974442220137
.AORD_s137,SAS_q1,True,0.7207100899911533,0.7207100899911533
.AORD_s137,HAR,True,0.7245612170478222,0.7245612170478222
.AORD_s137,DLinear,True,0.7315565404789761,0.7315565404789761
.AORD_s137,GARCH,True,0.7352983406460254,0.7352983406460254
.AORD_s256,Noiseless,True,0.6263401623385707,0.6263401623385707
.AORD_s256,SAS_same_fixedλ,True,0.6261860953409587,0.6261860953409587
.AORD_s256,SAS_same_cvλ,True,0.6265016970357563,0.6265016970357563
.AORD_s256,SAS_diff,True,0.6280716979718236,0.6280716979718236
.AORD_s256,SAS_q1,True,0.6340010946728923,0.6340010946728923
.AORD_s256,HAR,True,0.6384426314173075,0.6384426314173075
.AORD_s256,DLinear,True,0.6375419426954332,0.6375419426954332
.AORD_s256,GARCH,True,0.6493594580559157,0.6493594580559157
.BFX_s42,Noiseless,True,0.43677883597774,0.43677883597774
.BFX_s42,SAS_same_fixedλ,True,0.4413565900522412,0.4413565900522412
.BFX_s42,SAS_same_cvλ,True,0.44122883453420236,0.44122883453420236
.BFX_s42,SAS_diff,True,0.44046118300741516,0.44046118300741516
.BFX_s42,SAS_q1,True,0.4436448407644651,0.4436448407644651
.BFX_s42,HAR,True,0.4461652334934734,0.4461652334934734
