sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.AEX,42,1,0,0.0001,-4.0,0.735260082986458
.AEX,42,1,1,0.00017782794100389227,-3.75,0.47269697581097647
.AEX,42,1,2,0.00031622776601683794,-3.5,0.4610251125402277
.AEX,42,1,3,0.0005623413251903491,-3.25,0.4459762010315542
.AEX,42,1,4,0.001,-3.0,0.4286046705106215
.AEX,42,1,5,0.0017782794100389228,-2.75,0.42974313929467267
.AEX,42,1,6,0.0031622776601683794,-2.5,0.42309010208781644
.AEX,42,1,7,0.005623413251903491,-2.25,0.4226216489611392
.AEX,42,1,8,0.01,-2.0,0.42233874495707824
.AEX,42,1,9,0.01778279410038923,-1.75,0.4220965406054754
.AEX,42,1,10,0.03162277660168379,-1.5,0.42187866652653233
.AEX,42,1,11,0.05623413251903491,-1.25,0.42170015630107294
.AEX,42,1,12,0.1,-1.0,0.42159639082351263
.AEX,42,1,13,0.1778279410038923,-0.75,0.42160099166744125
.AEX,42,1,14,0.31622776601683794,-0.5,0.4217160458600285
.AEX,42,1,15,0.5623413251903491,-0.25,0.42190136058774813
.AEX,42,1,16,1.0,0.0,0.42209897059298934
.AEX,42,1,17,1.7782794100389228,0.25,0.4222682874353746
.AEX,42,1,18,3.1622776601683795,0.5,0.4223981553806711
.AEX,42,1,19,5.623413251903491,0.75,0.42250387823459384
.AEX,42,1,20,10.0,1.0,0.4226308901437112
.AEX,42,1,21,17.78279410038923,1.25,0.42286708506090853
.AEX,42,1,22,31.622776601683793,1.5,0.4233608137500821
.AEX,42,1,23,56.23413251903491,1.75,0.4243520554694477
.AEX,42,1,24,100.0,2.0,0.4262369852755008
.AEX,42,1,25,177.82794100389228,2.25,0.4296584731727108
.AEX,42,1,26,316.22776601683796,2.5,0.4355566246076918
.AEX,42,1,27,562.341325190349,2.75,0.4451057274166886
.AEX,42,1,28,1000.0,3.0,0.4595031517712625
.AEX,42,1,29,1778.2794100389228,3.25,0.47964258859682896
.AEX,42,1,30,3162.2776601683795,3.5,0.5061705353243426
.AEX,42,1,31,5623.413251903491,3.75,0.5410972352525549
.AEX,42,1,32,10000.0,4.0,0.5909699695277824
.AEX,42,1,33,17782.794100389227,4.25,0.669183570496519
.AEX,42,1,34,31622.776601683792,4.5,0.7949508236907968
.AEX,42,1,35,56234.13251903491,4.75,0.9873585564550119
.AEX,42,1,36,100000.0,5.0,1.2533119475102648
.AORD,42,1,0,0.0001,-4.0,0.7433124212528176
.AORD,42,1,1,0.00017782794100389227,-3.75,1.9767744004502785
.AORD,42,1,2,0.00031622776601683794,-3.5,0.7409938204550381
.AORD,42,1,3,0.0005623413251903491,-3.25,0.7340340523398631
.AORD,42,1,4,0.001,-3.0,0.7324864354996465
.AORD,42,1,5,0.0017782794100389228,-2.75,0.7320043622365504
.AORD,42,1,6,0.0031622776601683794,-2.5,0.7315857386551435
.AORD,42,1,7,0.005623413251903491,-2.25,0.7312156731963758
.AORD,42,1,8,0.01,-2.0,0.7308599986067031
.AORD,42,1,9,0.01778279410038923,-1.75,0.7304921873192296
.AORD,42,1,10,0.03162277660168379,-1.5,0.7301071758753862
.AORD,42,1,11,0.05623413251903491,-1.25,0.7297213407992567
.AORD,42,1,12,0.1,-1.0,0.729361637161777
.AORD,42,1,13,0.1778279410038923,-0.75,0.7290450228603957
.AORD,42,1,14,0.31622776601683794,-0.5,0.7287599079543368
.AORD,42,1,15,0.5623413251903491,-0.25,0.7284696012046513
.AORD,42,1,16,1.0,0.0,0.7281377393949999
.AORD,42,1,17,1.7782794100389228,0.25,0.7277540436639108
.AORD,42,1,18,3.1622776601683795,0.5,0.7273434661508534
.AORD,42,1,19,5.623413251903491,0.75,0.7269548950844589
.AORD,42,1,20,10.0,1.0,0.7266365560302109
.AORD,42,1,21,17.78279410038923,1.25,0.7264193145596213
.AORD,42,1,22,31.622776601683793,1.5,0.7263304298788918
.AORD,42,1,23,56.23413251903491,1.75,0.7264292717631006
.AORD,42,1,24,100.0,2.0,0.7268375207809799
.AORD,42,1,25,177.82794100389228,2.25,0.7277601840338
.AORD,42,1,26,316.22776601683796,2.5,0.729512160433611
.AORD,42,1,27,562.341325190349,2.75,0.7325762027231412
.AORD,42,1,28,1000.0,3.0,0.7377923657677647
.AORD,42,1,29,1778.2794100389228,3.25,0.7469296409948823
.AORD,42,1,30,3162.2776601683795,3.5,0.7639294349966391
.AORD,42,1,31,5623.413251903491,3.75,0.796433974002442
.AORD,42,1,32,10000.0,4.0,0.8552902894857219
.AORD,42,1,33,17782.794100389227,4.25,0.948444329859978
.AORD,42,1,34,31622.776601683792,4.5,1.07065970692626
.AORD,42,1,35,56234.13251903491,4.75,1.201043468394377
.AORD,42,1,36,100000.0,5.0,1.3157833934335994
.AORD,137,1,0,0.0001,-4.0,0.7939266423465748
.AORD,137,1,1,0.00017782794100389227,-3.75,0.866352765072508
.AORD,137,1,2,0.00031622776601683794,-3.5,0.7566155892974471
.AORD,137,1,3,0.0005623413251903491,-3.25,0.7471704730356393
.AORD,137,1,4,0.001,-3.0,0.7547232412775222
.AORD,137,1,5,0.0017782794100389228,-2.75,0.7650528167932821
.AORD,137,1,6,0.0031622776601683794,-2.5,0.7367525456043208
.AORD,137,1,7,0.005623413251903491,-2.25,0.7364792394897738
.AORD,137,1,8,0.01,-2.0,0.7362345884346263
.AORD,137,1,9,0.01778279410038923,-1.75,0.7360340879331748
.AORD,137,1,10,0.03162277660168379,-1.5,0.735747571853193
.AORD,137,1,11,0.05623413251903491,-1.25,0.7353164834942726
.AORD,137,1,12,0.1,-1.0,0.7347316900862028
.AORD,137,1,13,0.1778279410038923,-0.75,0.7340359176546226
.AORD,137,1,14,0.31622776601683794,-0.5,0.7333075682292683
.AORD,137,1,15,0.5623413251903491,-0.25,0.7326288573183247
.AORD,137,1,16,1.0,0.0,0.732058305982832
.AORD,137,1,17,1.7782794100389228,0.25,0.731615848857997
.AORD,137,1,18,3.1622776601683795,0.5,0.7312855644366867
.AORD,137,1,19,5.623413251903491,0.75,0.7310385819708611
.AORD,137,1,20,10.0,1.0,0.7308613119652876
.AORD,137,1,21,17.78279410038923,1.25,0.7307698101856708
