sym,dgp_seed,horizon,alpha_idx,alpha,log10_alpha,oos_mse
.AEX,42,1,0,0.0001,-4.0,0.2466909525937972
.AEX,42,1,1,0.00017782794100389227,-3.75,1.0423746529004945
.AEX,42,1,2,0.00031622776601683794,-3.5,0.2440863867477885
.AEX,42,1,3,0.0005623413251903491,-3.25,0.24368185569244216
.AEX,42,1,4,0.001,-3.0,0.24347687350284508
.AEX,42,1,5,0.0017782794100389228,-2.75,0.24329920958447787
.AEX,42,1,6,0.0031622776601683794,-2.5,0.2431538946690309
.AEX,42,1,7,0.005623413251903491,-2.25,0.24302807402563
.AEX,42,1,8,0.01,-2.0,0.24291304085355442
.AEX,42,1,9,0.01778279410038923,-1.75,0.24280038768857934
.AEX,42,1,10,0.03162277660168379,-1.5,0.2426825353283488
.AEX,42,1,11,0.05623413251903491,-1.25,0.24255621520996906
.AEX,42,1,12,0.1,-1.0,0.2424226217373003
.AEX,42,1,13,0.1778279410038923,-0.75,0.2422836497097988
.AEX,42,1,14,0.31622776601683794,-0.5,0.24213878107810344
.AEX,42,1,15,0.5623413251903491,-0.25,0.24198528701211558
.AEX,42,1,16,1.0,0.0,0.24181984445345198
.AEX,42,1,17,1.7782794100389228,0.25,0.2416396227171212
.AEX,42,1,18,3.1622776601683795,0.5,0.24144437250409173
.AEX,42,1,19,5.623413251903491,0.75,0.24124129911498346
.AEX,42,1,20,10.0,1.0,0.24105301267658952
.AEX,42,1,21,17.78279410038923,1.25,0.24093228832183805
.AEX,42,1,22,31.622776601683793,1.5,0.24100030026957678
.AEX,42,1,23,56.23413251903491,1.75,0.24151339674325578
.AEX,42,1,24,100.0,2.0,0.2428916108122242
.AEX,42,1,25,177.82794100389228,2.25,0.24560053455659056
.AEX,42,1,26,316.22776601683796,2.5,0.24995552389377595
.AEX,42,1,27,562.341325190349,2.75,0.2562286567501895
.AEX,42,1,28,1000.0,3.0,0.26534611346424525
.AEX,42,1,29,1778.2794100389228,3.25,0.2797612256740479
.AEX,42,1,30,3162.2776601683795,3.5,0.3035823715619093
.AEX,42,1,31,5623.413251903491,3.75,0.341413146972077
.AEX,42,1,32,10000.0,4.0,0.3961585798312138
.AEX,42,1,33,17782.794100389227,4.25,0.4665023577622511
.AEX,42,1,34,31622.776601683792,4.5,0.5453696791487684
.AEX,42,1,35,56234.13251903491,4.75,0.6216296170289746
.AEX,42,1,36,100000.0,5.0,0.6853403095438517
.AEX,137,1,0,0.0001,-4.0,0.4762220166529573
.AEX,137,1,1,0.00017782794100389227,-3.75,0.24511232789397316
.AEX,137,1,2,0.00031622776601683794,-3.5,0.24401716807312712
.AEX,137,1,3,0.0005623413251903491,-3.25,0.24122067622769477
.AEX,137,1,4,0.001,-3.0,0.24058937275680645
.AEX,137,1,5,0.0017782794100389228,-2.75,0.24004084264949088
.AEX,137,1,6,0.0031622776601683794,-2.5,0.23949021150492578
.AEX,137,1,7,0.005623413251903491,-2.25,0.23895334380518465
.AEX,137,1,8,0.01,-2.0,0.23846296982382548
.AEX,137,1,9,0.01778279410038923,-1.75,0.23804827404105172
.AEX,137,1,10,0.03162277660168379,-1.5,0.23772036883558426
.AEX,137,1,11,0.05623413251903491,-1.25,0.23747525012773804
.AEX,137,1,12,0.1,-1.0,0.2372984459538326
.AEX,137,1,13,0.1778279410038923,-0.75,0.2371642650395437
.AEX,137,1,14,0.31622776601683794,-0.5,0.23704119501038992
.AEX,137,1,15,0.5623413251903491,-0.25,0.23690210014222987
.AEX,137,1,16,1.0,0.0,0.2367323472905561
.AEX,137,1,17,1.7782794100389228,0.25,0.23653825013266158
.AEX,137,1,18,3.1622776601683795,0.5,0.23635196384735882
.AEX,137,1,19,5.623413251903491,0.75,0.2362215559448911
.AEX,137,1,20,10.0,1.0,0.23619263440729363
.AEX,137,1,21,17.78279410038923,1.25,0.23630215158755785
.AEX,137,1,22,31.622776601683793,1.5,0.2365897499949781
.AEX,137,1,23,56.23413251903491,1.75,0.23713920184834053
.AEX,137,1,24,100.0,2.0,0.23820349952600672
.AEX,137,1,25,177.82794100389228,2.25,0.24048321976767567
.AEX,137,1,26,316.22776601683796,2.5,0.2455412489091098
.AEX,137,1,27,562.341325190349,2.75,0.25603709540769976
.AEX,137,1,28,1000.0,3.0,0.27539449009736533
.AEX,137,1,29,1778.2794100389228,3.25,0.30743292895197816
.AEX,137,1,30,3162.2776601683795,3.5,0.3566486524962677
.AEX,137,1,31,5623.413251903491,3.75,0.4275521904290926
.AEX,137,1,32,10000.0,4.0,0.5215539795175044
.AEX,137,1,33,17782.794100389227,4.25,0.6339473898661064
.AEX,137,1,34,31622.776601683792,4.5,0.7538787648923436
.AEX,137,1,35,56234.13251903491,4.75,0.8669895922740555
.AEX,137,1,36,100000.0,5.0,0.9607119642776968
.AEX,256,1,0,0.0001,-4.0,0.29686423462089656
.AEX,256,1,1,0.00017782794100389227,-3.75,0.23877728123753222
.AEX,256,1,2,0.00031622776601683794,-3.5,0.23850648494687196
.AEX,256,1,3,0.0005623413251903491,-3.25,0.23834269600869018
.AEX,256,1,4,0.001,-3.0,0.23821527351340255
.AEX,256,1,5,0.0017782794100389228,-2.75,0.23809717490961455
.AEX,256,1,6,0.0031622776601683794,-2.5,0.23795683460281564
.AEX,256,1,7,0.005623413251903491,-2.25,0.2377673076213534
.AEX,256,1,8,0.01,-2.0,0.2375172116188628
.AEX,256,1,9,0.01778279410038923,-1.75,0.23721397753553977
.AEX,256,1,10,0.03162277660168379,-1.5,0.236878028496002
.AEX,256,1,11,0.05623413251903491,-1.25,0.23652969336972254
.AEX,256,1,12,0.1,-1.0,0.2361766245641046
.AEX,256,1,13,0.1778279410038923,-0.75,0.23581446909905446
.AEX,256,1,14,0.31622776601683794,-0.5,0.23544314022974408
.AEX,256,1,15,0.5623413251903491,-0.25,0.2350781658433456
