config,mse_h1,mse_h5,mse_h22,mse_avg
HAR,0.5318894567474096,0.7913493269069161,1.4275993365398365,0.9169460400647207
lru_h64_l2_lb10,0.562600755926072,0.7920439910672818,1.3984374265647197,0.9176940578526912
lru_h64_l2_lb40,0.5461314765711868,0.8285582069728156,1.3876102430449955,0.9207666421963326
lru_h32_l2_lb10,0.5537791577288186,0.8099618935389643,1.4694651050064826,0.9444020520914219
lru_h64_l2_lb20,0.5603028046894221,0.8505920617450035,1.433687576512711,0.9481941476490455
gru_h64_l1_lb10,0.6112854956655297,0.8451000397496198,1.4660978963566142,0.9741611439239213
lru_h16_l1_lb10,0.5537185337256494,0.9517990312802126,1.4270695911211297,0.9775290520423305
lru_h32_l2_lb40,0.5392678031044043,0.8372706062159864,1.5579009147631373,0.9781464413611759
lru_h32_l1_lb20,0.5509274591121934,0.8886863707443563,1.4985238057725818,0.9793792118763772
lru_h16_l1_lb20,0.5536364335232682,0.951455946076891,1.4380183053032785,0.9810368949678127
gru_h64_l1_lb40,0.599162548932687,0.8421903751314233,1.5042642174152292,0.9818723804931132
lru_h64_l1_lb10,0.5552431345181944,0.8684199709444927,1.525622720977225,0.9830952754799708
gru_h64_l2_lb10,0.5867687757317281,0.8368868812975938,1.5310336686100119,0.984896441879778
lru_h16_l1_lb40,0.549622806518114,0.9562267288919728,1.4621776126676913,0.9893423826925928
lru_h64_l1_lb40,0.5522715666973002,0.8778252806543039,1.5461768401441747,0.9920912291652595
lru_h32_l1_lb10,0.5502130607058303,0.8953543668148705,1.5393222873279175,0.9949632382828728
lru_h64_l1_lb20,0.5588954766210811,0.9003070211853064,1.5317871552349729,0.9969965510137868
gru_h64_l1_lb20,0.6171671627354542,0.8930960664510769,1.4861715616049809,0.998811596930504
gru_h64_l2_lb20,0.593595366525733,0.9096871576763756,1.5003655372037703,1.0012160204686262
lru_h32_l1_lb40,0.5549764626676319,0.9208495194202071,1.5397987689569583,1.0052082503482658
lru_h16_l2_lb20,0.6567581574523703,0.9078922631920436,1.4573261555831647,1.0073255254091928
lru_h32_l2_lb20,0.5615143851925359,0.8818266643756235,1.5805910504750074,1.0079773666810556
gru_h32_l1_lb10,0.6182818689848703,0.9018431461494613,1.5107999898314892,1.0103083349886068
lru_h16_l2_lb40,0.6400507372209538,0.9040681189834597,1.4963167702112834,1.0134785421385657
gru_h32_l1_lb20,0.6265596261381818,0.9122052923689998,1.502576888143921,1.0137806022170341
lru_h16_l2_lb10,0.6544028968354604,0.9167396517572142,1.4764338381195243,1.0158587955707328
gru_h32_l2_lb20,0.6633950899821778,0.9222602046633006,1.4754255845368083,1.0203602930607623
gru_h32_l2_lb10,0.6281512956136378,0.903120925400562,1.5533451447608826,1.0282057885916942
gru_h64_l2_lb40,0.5783624656719808,0.8905725944098686,1.6188637394532297,1.0292662665116932
gru_h32_l1_lb40,0.6255896638762833,0.91605076691064,1.5487172432825111,1.0301192246898114
gru_h16_l1_lb10,0.6578840871409856,0.9661649168631593,1.471009003120213,1.031686002374786
gru_h16_l2_lb20,0.6283517571633084,0.9339024847287571,1.5349985422638235,1.0324175947186296
gru_h16_l2_lb10,0.6415651992282795,0.9243229670635095,1.5370313090994523,1.0343064917970803
lstm_h64_l2_lb10,0.7570309930390338,0.9180886979141751,1.4534512583972028,1.0428569831168037
gru_h16_l1_lb40,0.6581132782049912,0.9639707308911645,1.5143964306361846,1.04549347991078
gru_h16_l1_lb20,0.6688322519467895,0.9926883178614574,1.4889182517317672,1.0501462738466714
gru_h16_l2_lb40,0.6234157656089905,0.9428155790945562,1.5914505240572845,1.052560622920277
lstm_h64_l1_lb20,0.6665043635599787,0.9386427750726416,1.5577644923697391,1.0543038770007864
lstm_h32_l2_lb10,0.7348743093388979,0.9063300400977025,1.5334926746694582,1.0582323413686863
lstm_h64_l2_lb20,0.7147014495436749,0.9304541536448093,1.5320835543149065,1.059079719167797
gru_h32_l2_lb40,0.6465435171018219,0.9275882171290857,1.6221166543188243,1.0654161295165772
lstm_h64_l1_lb40,0.6859250990295708,0.9133967789019223,1.6290521552288582,1.0761246777201172
lstm_h32_l1_lb20,0.7244817692185536,0.9692508479291071,1.5580398484044982,1.083924155184053
lstm_h32_l1_lb10,0.7503437091288123,0.971651704059413,1.5324880424876675,1.084827818558631
lstm_h16_l1_lb10,0.6902696183400208,1.024342442945985,1.5459540105092842,1.0868553572650967
lstm_h64_l1_lb10,0.6967060476964838,0.9890090106942089,1.5962457950046105,1.093986951131768
lstm_h16_l1_lb40,0.6949721562919352,1.0141346366813886,1.5745098120476582,1.0945388683403274
lstm_h32_l2_lb20,0.7250602779827855,0.9590296720567483,1.601533702134616,1.09520788405805
lstm_h16_l1_lb20,0.7285879702339434,1.0700037084965284,1.553167269832346,1.1172529828542725
lstm_h32_l2_lb40,0.7140224249978929,0.9631623868758603,1.6864897077092014,1.1212248398609848
lstm_h16_l2_lb10,0.7789520368958096,1.0078606307925193,1.5882608606223168,1.1250245094368818
lstm_h64_l2_lb40,0.7511849462730272,1.0206310066775295,1.6175373842453096,1.1297844457319555
lstm_h16_l2_lb40,0.8155117828233072,1.0267191353261405,1.5994332937842477,1.1472214039778985
lstm_h16_l2_lb20,0.8026239143163257,1.0274251155781857,1.6127707783474823,1.1476066027473313
lstm_h32_l1_lb40,0.6995095546954627,0.9470272713173833,1.808875385126194,1.15180407037968
